Nr tasks 80, Time 6.924008846282959, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.59772435897463 
Nr tasks 81, Time 7.063462257385254, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.5991826923082 
Nr tasks 82, Time 7.476409673690796, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.528272727273 
Nr tasks 83, Time 7.704256772994995, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.52828787878815 
Nr tasks 84, Time 7.8761186599731445, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.59143939393965 
Nr tasks 85, Time 8.27667236328125, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.5936363636367 
Nr tasks 86, Time 8.235327243804932, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.5939696969698 
Nr tasks 87, Time 8.044435262680054, Makespan 367, Max Temp 391.16, Top 1 percent highs 389.5955454545455 
Nr tasks 88, Time 8.379678010940552, Makespan 367, Max Temp 391.89, Top 1 percent highs 389.6693484848485 
Nr tasks 89, Time 8.27403211593628, Makespan 367, Max Temp 391.89, Top 1 percent highs 389.66937878787877 
Nr tasks 90, Time 8.442306518554688, Makespan 367, Max Temp 391.89, Top 1 percent highs 389.6694090909091 
Nr tasks 91, Time 8.81678819656372, Makespan 376, Max Temp 391.89, Top 1 percent highs 389.63643491124265 
Nr tasks 92, Time 9.018563032150269, Makespan 376, Max Temp 391.89, Top 1 percent highs 389.63649408284033 
Nr tasks 93, Time 9.077721118927002, Makespan 376, Max Temp 391.89, Top 1 percent highs 390.09952662721935 
Nr tasks 94, Time 9.05147910118103, Makespan 381, Max Temp 391.89, Top 1 percent highs 390.08611678832165 
Nr tasks 95, Time 8.93075156211853, Makespan 381, Max Temp 391.89, Top 1 percent highs 390.11455474452583 
Nr tasks 96, Time 9.514743089675903, Makespan 390, Max Temp 391.89, Top 1 percent highs 390.08819088319126 
Nr tasks 97, Time 9.479402780532837, Makespan 390, Max Temp 391.89, Top 1 percent highs 390.8733048433048 
Nr tasks 98, Time 9.961177349090576, Makespan 399, Max Temp 391.89, Top 1 percent highs 390.84072423398305 
Nr tasks 99, Time 9.59622073173523, Makespan 399, Max Temp 391.89, Top 1 percent highs 390.91164345403934 
Nr tasks 100, Time 9.583102464675903, Makespan 399, Max Temp 391.89, Top 1 percent highs 390.91164345403934 
Nr tasks 100, Time 9.887196779251099, Makespan 399, Max Temp 391.89, Top 1 percent highs 390.91164345403934 
Nr tasks 120, Time 15.68271541595459, Makespan 486, Max Temp 392.07, Top 1 percent highs 391.3751945080093 
Nr tasks 140, Time 21.63615393638611, Makespan 567, Max Temp 392.49, Top 1 percent highs 391.45729411764535 
Nr tasks 160, Time 30.338951587677002, Makespan 688, Max Temp 392.83, Top 1 percent highs 391.4914216478191 
Nr tasks 180, Time 46.509676456451416, Makespan 779, Max Temp 393.61, Top 1 percent highs 391.5703922967178 
Nr tasks 200, Time 63.85663628578186, Makespan 851, Max Temp 394.02, Top 1 percent highs 391.7021946440223 
Nr tasks 220, Time 85.39155793190002, Makespan 966, Max Temp 394.02, Top 1 percent highs 392.2283314154187 
Nr tasks 240, Time 114.83652830123901, Makespan 1055, Max Temp 394.02, Top 1 percent highs 392.1950078988943 
Nr tasks 260, Time 140.79772520065308, Makespan 1153, Max Temp 394.03, Top 1 percent highs 392.1199518072285 
Nr tasks 280, Time 177.23167777061462, Makespan 1222, Max Temp 394.04, Top 1 percent highs 392.11563437926384 
Nr tasks 300, Time 208.1541769504547, Makespan 1314, Max Temp 394.52, Top 1 percent highs 392.14206765327583 
Nr tasks 320, Time 257.5385479927063, Makespan 1386, Max Temp 395.29, Top 1 percent highs 392.12400160384993 
Nr tasks 340, Time 305.5218482017517, Makespan 1446, Max Temp 395.3, Top 1 percent highs 392.1348078401225 
Nr tasks 360, Time 369.8867611885071, Makespan 1547, Max Temp 395.3, Top 1 percent highs 392.1939870689665 
Nr tasks 380, Time 439.2237343788147, Makespan 1597, Max Temp 395.32, Top 1 percent highs 392.23761308281496 
Nr tasks 400, Time 489.6041750907898, Makespan 1701, Max Temp 395.32, Top 1 percent highs 392.17734727213593 
Nr tasks 420, Time 596.2983787059784, Makespan 1778, Max Temp 395.32, Top 1 percent highs 392.1522749999996 
Nr tasks 440, Time 652.8637974262238, Makespan 1850, Max Temp 395.32, Top 1 percent highs 392.1111501501529 
Nr tasks 460, Time 709.5062353610992, Makespan 1937, Max Temp 395.32, Top 1 percent highs 392.28292025244104 
Nr tasks 480, Time 787.3893709182739, Makespan 1994, Max Temp 395.32, Top 1 percent highs 392.3653831150721 
Nr tasks 500, Time 902.954066991806, Makespan 2063, Max Temp 395.32, Top 1 percent highs 392.3789550228935 
