Nr tasks 81, Time 2.781092643737793, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.7946593406598 
Nr tasks 82, Time 2.846020221710205, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.79509890109927 
Nr tasks 83, Time 2.8178138732910156, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.79538461538493 
Nr tasks 84, Time 2.874363422393799, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.8194285714287 
Nr tasks 85, Time 3.0172810554504395, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.94083516483516 
Nr tasks 86, Time 3.02339243888855, Makespan 253, Max Temp 406.32, Top 1 percent highs 401.0447912087912 
Nr tasks 87, Time 3.1469109058380127, Makespan 253, Max Temp 406.32, Top 1 percent highs 401.17224175824157 
Nr tasks 88, Time 3.129024028778076, Makespan 253, Max Temp 406.32, Top 1 percent highs 401.17224175824157 
Nr tasks 89, Time 3.1939640045166016, Makespan 266, Max Temp 406.32, Top 1 percent highs 401.11677824267764 
Nr tasks 90, Time 3.4719719886779785, Makespan 266, Max Temp 406.32, Top 1 percent highs 401.1168200836819 
Nr tasks 91, Time 3.3639307022094727, Makespan 266, Max Temp 406.32, Top 1 percent highs 401.1168828451882 
Nr tasks 92, Time 3.4794485569000244, Makespan 276, Max Temp 406.32, Top 1 percent highs 401.0751411290322 
Nr tasks 93, Time 3.4686124324798584, Makespan 276, Max Temp 406.32, Top 1 percent highs 401.0752217741935 
Nr tasks 94, Time 3.5658304691314697, Makespan 276, Max Temp 406.32, Top 1 percent highs 401.0752620967741 
Nr tasks 95, Time 3.5880467891693115, Makespan 276, Max Temp 406.32, Top 1 percent highs 401.0752822580644 
Nr tasks 96, Time 3.656848907470703, Makespan 285, Max Temp 406.32, Top 1 percent highs 401.03664717348926 
Nr tasks 97, Time 3.7795894145965576, Makespan 298, Max Temp 406.32, Top 1 percent highs 400.983712686567 
Nr tasks 98, Time 3.8009250164031982, Makespan 298, Max Temp 406.32, Top 1 percent highs 400.9837686567162 
Nr tasks 99, Time 3.8901872634887695, Makespan 298, Max Temp 406.32, Top 1 percent highs 400.9837873134327 
Nr tasks 100, Time 3.9135658740997314, Makespan 298, Max Temp 406.32, Top 1 percent highs 400.9838059701491 
Nr tasks 100, Time 3.965470314025879, Makespan 298, Max Temp 406.32, Top 1 percent highs 400.9838059701491 
Nr tasks 110, Time 4.809160232543945, Makespan 340, Max Temp 406.32, Top 1 percent highs 401.09289215686294 
Nr tasks 120, Time 5.847462892532349, Makespan 373, Max Temp 406.32, Top 1 percent highs 401.15780923994043 
Nr tasks 130, Time 7.04737114906311, Makespan 424, Max Temp 406.32, Top 1 percent highs 401.0801703800785 
Nr tasks 140, Time 8.444256782531738, Makespan 457, Max Temp 406.32, Top 1 percent highs 401.20838199513366 
Nr tasks 150, Time 9.949317455291748, Makespan 485, Max Temp 406.32, Top 1 percent highs 401.1755097365407 
Nr tasks 160, Time 11.70718789100647, Makespan 542, Max Temp 406.32, Top 1 percent highs 401.10155897435925 
Nr tasks 170, Time 13.451109170913696, Makespan 575, Max Temp 406.32, Top 1 percent highs 401.28599999999994 
Nr tasks 180, Time 15.73551607131958, Makespan 601, Max Temp 406.32, Top 1 percent highs 401.4474375578163 
Nr tasks 190, Time 17.884087800979614, Makespan 646, Max Temp 406.32, Top 1 percent highs 401.5057745266783 
Nr tasks 200, Time 20.37172293663025, Makespan 673, Max Temp 406.32, Top 1 percent highs 401.7073575557387 
Nr tasks 210, Time 23.323703289031982, Makespan 734, Max Temp 406.32, Top 1 percent highs 401.6769947009843 
Nr tasks 220, Time 25.880436658859253, Makespan 785, Max Temp 406.32, Top 1 percent highs 401.6925619249815 
Nr tasks 230, Time 29.431644678115845, Makespan 814, Max Temp 406.32, Top 1 percent highs 401.7363139931737 
Nr tasks 240, Time 33.150508880615234, Makespan 844, Max Temp 406.32, Top 1 percent highs 401.7841737985515 
Nr tasks 250, Time 36.22613763809204, Makespan 874, Max Temp 406.32, Top 1 percent highs 401.7495295613482 
Nr tasks 260, Time 40.35235810279846, Makespan 908, Max Temp 406.32, Top 1 percent highs 401.7475214198286 
Nr tasks 270, Time 45.18152666091919, Makespan 930, Max Temp 406.32, Top 1 percent highs 401.7721087216246 
Nr tasks 280, Time 49.84351992607117, Makespan 964, Max Temp 406.32, Top 1 percent highs 401.78078962535926 
Nr tasks 290, Time 53.58688402175903, Makespan 982, Max Temp 406.32, Top 1 percent highs 401.8409394453867 
Nr tasks 300, Time 58.578813552856445, Makespan 1045, Max Temp 406.32, Top 1 percent highs 401.8638224348756 
Nr tasks 310, Time 63.280306339263916, Makespan 1073, Max Temp 406.32, Top 1 percent highs 401.89421543241843 
Nr tasks 320, Time 69.83326005935669, Makespan 1104, Max Temp 406.33, Top 1 percent highs 401.8778560644194 
Nr tasks 330, Time 76.02591872215271, Makespan 1120, Max Temp 406.33, Top 1 percent highs 401.93615575396825 
Nr tasks 340, Time 80.61610078811646, Makespan 1163, Max Temp 406.33, Top 1 percent highs 401.97036789297624 
Nr tasks 350, Time 87.05811142921448, Makespan 1225, Max Temp 406.33, Top 1 percent highs 401.9036825396827 
Nr tasks 360, Time 95.13669443130493, Makespan 1244, Max Temp 406.33, Top 1 percent highs 401.89971862438574 
Nr tasks 370, Time 101.76404118537903, Makespan 1261, Max Temp 407.15, Top 1 percent highs 401.9122432789773 
Nr tasks 380, Time 110.66382789611816, Makespan 1281, Max Temp 407.15, Top 1 percent highs 401.9061301518442 
Nr tasks 390, Time 117.71604990959167, Makespan 1316, Max Temp 407.15, Top 1 percent highs 401.9603800675675 
Nr tasks 400, Time 130.5354199409485, Makespan 1353, Max Temp 407.15, Top 1 percent highs 401.9255112936349 
Nr tasks 410, Time 137.5868763923645, Makespan 1382, Max Temp 407.15, Top 1 percent highs 401.9786972255731 
Nr tasks 420, Time 145.2471489906311, Makespan 1428, Max Temp 407.15, Top 1 percent highs 401.9365953307397 
Nr tasks 430, Time 158.37910532951355, Makespan 1459, Max Temp 407.15, Top 1 percent highs 401.97050647372333 
Nr tasks 440, Time 162.91688466072083, Makespan 1496, Max Temp 407.15, Top 1 percent highs 401.9380386329833 
Nr tasks 450, Time 170.86031770706177, Makespan 1525, Max Temp 407.15, Top 1 percent highs 401.9513879781406 
Nr tasks 460, Time 179.7963581085205, Makespan 1568, Max Temp 407.15, Top 1 percent highs 401.9472572643538 
Nr tasks 470, Time 195.06641221046448, Makespan 1588, Max Temp 407.15, Top 1 percent highs 401.98633659902475 
Nr tasks 480, Time 212.21883034706116, Makespan 1625, Max Temp 407.15, Top 1 percent highs 401.98535726496067 
Nr tasks 490, Time 223.63677096366882, Makespan 1638, Max Temp 407.15, Top 1 percent highs 401.99404341926856 
Nr tasks 500, Time 234.23901915550232, Makespan 1670, Max Temp 407.16, Top 1 percent highs 402.1096939454432 
