Nr tasks 77, Time 0.6670575141906738, Makespan 296, Max Temp 402.55, Top 1 percent highs 400.9416101694915 
Nr tasks 78, Time 0.6733760833740234, Makespan 296, Max Temp 402.55, Top 1 percent highs 400.94194915254235 
Nr tasks 79, Time 0.6806702613830566, Makespan 314, Max Temp 402.55, Top 1 percent highs 400.8775697211155 
Nr tasks 80, Time 0.7009294033050537, Makespan 314, Max Temp 402.55, Top 1 percent highs 400.8778884462151 
Nr tasks 81, Time 0.7198169231414795, Makespan 314, Max Temp 402.55, Top 1 percent highs 400.8809163346612 
Nr tasks 82, Time 0.7439107894897461, Makespan 334, Max Temp 402.55, Top 1 percent highs 400.8168164794007 
Nr tasks 83, Time 0.7737102508544922, Makespan 334, Max Temp 402.55, Top 1 percent highs 400.81722846441943 
Nr tasks 84, Time 0.8483233451843262, Makespan 334, Max Temp 403.41, Top 1 percent highs 401.151872659176 
Nr tasks 85, Time 0.8245878219604492, Makespan 334, Max Temp 403.41, Top 1 percent highs 401.2320973782769 
Nr tasks 86, Time 0.8481869697570801, Makespan 334, Max Temp 404.58, Top 1 percent highs 401.33764044943825 
Nr tasks 87, Time 0.8861525058746338, Makespan 334, Max Temp 404.58, Top 1 percent highs 401.3381647940075 
Nr tasks 88, Time 0.9231984615325928, Makespan 334, Max Temp 404.58, Top 1 percent highs 401.58531835205997 
Nr tasks 89, Time 0.9009332656860352, Makespan 334, Max Temp 404.6, Top 1 percent highs 401.5860299625469 
Nr tasks 90, Time 0.923105001449585, Makespan 334, Max Temp 404.61, Top 1 percent highs 401.5865543071162 
Nr tasks 91, Time 0.9499332904815674, Makespan 343, Max Temp 404.6, Top 1 percent highs 401.556496350365 
Nr tasks 92, Time 0.9598836898803711, Makespan 343, Max Temp 404.61, Top 1 percent highs 401.5574452554745 
Nr tasks 93, Time 0.9787182807922363, Makespan 354, Max Temp 404.6, Top 1 percent highs 401.51840989399295 
