Nr tasks 160, Time 52.870102882385254, Makespan 255, Max Temp 519.48, Top 1 percent highs 510.4587209302323 
Nr tasks 180, Time 66.23640489578247, Makespan 255, Max Temp 519.48, Top 1 percent highs 515.7995784883723 
Nr tasks 200, Time 87.48879027366638, Makespan 293, Max Temp 519.48, Top 1 percent highs 515.2940075853355 
Nr tasks 220, Time 110.42964696884155, Makespan 330, Max Temp 519.48, Top 1 percent highs 514.7921324354662 
Nr tasks 240, Time 133.30296063423157, Makespan 350, Max Temp 519.48, Top 1 percent highs 514.5799153439154 
Nr tasks 260, Time 159.66848754882812, Makespan 350, Max Temp 519.48, Top 1 percent highs 514.6616719576718 
Nr tasks 280, Time 186.28468418121338, Makespan 385, Max Temp 519.48, Top 1 percent highs 514.318354186718 
Nr tasks 300, Time 219.2230143547058, Makespan 422, Max Temp 519.48, Top 1 percent highs 513.977998244074 
Nr tasks 320, Time 251.3659827709198, Makespan 422, Max Temp 519.49, Top 1 percent highs 513.9815803336263 
Nr tasks 340, Time 286.5829293727875, Makespan 442, Max Temp 519.49, Top 1 percent highs 513.8267476948869 
Nr tasks 360, Time 328.7561659812927, Makespan 497, Max Temp 519.49, Top 1 percent highs 513.3238897168408 
Nr tasks 380, Time 376.29393458366394, Makespan 517, Max Temp 519.49, Top 1 percent highs 513.1152865329515 
Nr tasks 400, Time 434.58053827285767, Makespan 562, Max Temp 519.49, Top 1 percent highs 512.6474291364547 
Nr tasks 420, Time 498.02573013305664, Makespan 562, Max Temp 519.5, Top 1 percent highs 512.7028147659856 
Nr tasks 440, Time 558.1631660461426, Makespan 595, Max Temp 519.5, Top 1 percent highs 512.5546762141963 
Nr tasks 460, Time 617.8002669811249, Makespan 613, Max Temp 519.5, Top 1 percent highs 512.5009607250764 
Nr tasks 480, Time 668.3122208118439, Makespan 630, Max Temp 519.68, Top 1 percent highs 512.44482069371 
Nr tasks 500, Time 751.9430286884308, Makespan 670, Max Temp 519.68, Top 1 percent highs 512.0622166943066 
