PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
34 0 39 0 0 0 32 0 28 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 40 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
24 0 39 0 0 0 32 0 27 35 25 44 51 31 28 54 20 39 
