Nr tasks 300, Time 100.59392762184143, Makespan 809, Max Temp 441.06, Top 1 percent highs 438.8770515463919 
Nr tasks 320, Time 123.8285448551178, Makespan 853, Max Temp 441.06, Top 1 percent highs 438.8188856304988 
Nr tasks 340, Time 141.50714659690857, Makespan 925, Max Temp 441.06, Top 1 percent highs 438.6782072072075 
Nr tasks 360, Time 174.97978401184082, Makespan 991, Max Temp 441.06, Top 1 percent highs 438.54377628259084 
Nr tasks 380, Time 204.14595103263855, Makespan 1038, Max Temp 441.06, Top 1 percent highs 438.5787228915661 
Nr tasks 400, Time 237.50472617149353, Makespan 1128, Max Temp 441.06, Top 1 percent highs 438.40476718403505 
Nr tasks 420, Time 290.79967188835144, Makespan 1194, Max Temp 441.06, Top 1 percent highs 438.2791340782119 
Nr tasks 440, Time 323.93532371520996, Makespan 1258, Max Temp 441.06, Top 1 percent highs 438.16029158383003 
Nr tasks 460, Time 369.35088562965393, Makespan 1292, Max Temp 441.08, Top 1 percent highs 438.25654838709687 
Nr tasks 480, Time 408.30967140197754, Makespan 1329, Max Temp 444.14, Top 1 percent highs 438.6631994981186 
Nr tasks 500, Time 473.3559010028839, Makespan 1402, Max Temp 444.26, Top 1 percent highs 438.55988109393576 
